,title,runtime,rating,genre,summary,gross,release_year,matches,category,nominee,oscar_year,winner
102,The Curious Case of Benjamin Button,166 min,PG-13,"Drama, Fantasy, Romance","Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","127,509,326.00",2008,The Curious Case of Benjamin Button,Best Picture,The Curious Case of Benjamin Button,2009,0
103,Slumdog Millionaire,120 min,R,"Crime, Drama, Romance","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".","141,319,928.00",2008,Slumdog Millionaire,Best Picture,Slumdog Millionaire,2009,1
104,There Will Be Blood,158 min,R,Drama,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","40,222,514.00",2007,There Will Be Blood,Best Picture,There Will Be Blood,2008,0
105,Michael Clayton,119 min,R,"Crime, Drama, Mystery","A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.","49,033,882.00",2007,Michael Clayton,Best Picture,Michael Clayton,2008,0
106,Atonement,123 min,R,"Drama, Mystery, Romance",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,"50,927,067.00",2007,Atonement,Best Picture,Atonement,2008,0
107,No Country for Old Men,122 min,R,"Crime, Drama, Thriller",Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,"74,283,625.00",2007,No Country for Old Men,Best Picture,No Country for Old Men,2008,1
108,Juno,96 min,PG-13,"Comedy, Drama","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding the unborn child.","143,495,265.00",2007,Juno,Best Picture,Juno,2008,0
109,Letters from Iwo Jima,141 min,R,"Action, Adventure, Drama","The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","13,756,082.00",2006,Letters from Iwo Jima,Best Picture,Letters from Iwo Jima,2007,0
110,Babel,143 min,R,Drama,"Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families.","34,302,837.00",2006,Babel,Best Picture,Babel,2007,0
111,The Queen,103 min,PG-13,"Biography, Drama","After the death of Princess Diana, Queen Elizabeth II struggles with her reaction to a sequence of events nobody could have predicted.","56,441,711.00",2006,The Queen,Best Picture,The Queen,2007,0
112,Little Miss Sunshine,101 min,R,"Comedy, Drama",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,"59,891,098.00",2006,Little Miss Sunshine,Best Picture,Little Miss Sunshine,2007,0
113,The Departed,151 min,R,"Crime, Drama, Thriller",An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"132,384,315.00",2006,The Departed,Best Picture,The Departed,2007,1
